Carimbo de data/hora,Declaro que li e compreendi as informações acima e concordo em participar voluntariamente desta pesquisa.  ,Faixa Etária,Gênero,Etnia,Campus,Curso,Período ,Semestre,Quais da opções abaixo melhor representa você em relação ao NAP (Núcleo de Apoio Psicopedagógico)?,Já senti necessidade de apoio emocional durante a graduação.,Eu buscaria ajuda institucional se estivesse com dificuldades acadêmicas ou emocionais.,Considero importante que existam espaços de escuta e acolhimento na instituição.,Eu sinto que há suporte suficiente para dificuldades emocionais na faculdade.,Eu gostaria de receber mais informações sobre serviços de apoio ao estudante.,Eu sei a quem recorrer dentro da faculdade quando tenho dificuldades emocionais.,Acredito que serviços de apoio podem melhorar a experiência acadêmica dos alunos.,Eu sinto que a faculdade oferece suporte suficiente para dificuldades acadêmicas.,Eu sei onde buscar ajuda na instituição quando tenho dificuldades pessoais.,Eu me sentiria confortável em procurar ajuda dentro da instituição.,Eu entendo claramente qual é a função do NAP (Núcleo de Apoio Psicopedagógico).,Eu já pensei em utilizar o NAP (Núcleo de Apoio Psicopedagógico) em algum momento.,Eu sei como acessar os serviços oferecidos pelo NAP  (Núcleo de Apoio Psicopedagógico).,Tenho confiança na confidencialidade do atendimento oferecido pelo NAP (Núcleo de Apoio Psicopedagógico).,"Eu já tive necessidade de apoio, mas não utilizei o NAP (Núcleo de Apoio Psicopedagógico).",Sinto que existe um preconceito em procurar apoio psicológico ou pedagógico na instituição.,Eu deixei de usar o NAP (Núcleo de Apoio Psicopedagógico) por falta de informação sobre o serviço.,Considero o NAP (Núcleo de Apoio Psicopedagógico) acessível em termos de horário e localização.,Confio no profissionalismo do atendimento oferecido pelo NAP (Núcleo de Apoio Psicopedagógico).,Deixei de utilizar o NAP (Núcleo de Apoio Psicopedagógico) por acreditar que o problema não era 'grave o suficiente'.,Eu consegui acessar o NAP (Núcleo de Apoio Psicopedagógico)  com facilidade.,Eu fui bem orientado sobre como funciona o atendimento do NAP (Núcleo de Apoio Psicopedagógico).,Eu me senti acolhido(a) durante o atendimento no NAP  (Núcleo de Apoio Psicopedagógico).,O atendimento do NAP (Núcleo de Apoio Psicopedagógico) atendeu às minhas expectativas.,O NAP (Núcleo de Apoio Psicopedagógico) contribuiu para a melhora das minhas dificuldades acadêmicas.,O NAP (Núcleo de Apoio Psicopedagógico) contribuiu para o meu bem-estar emocional.,Sinto que o NAP (Núcleo de Apoio Psicopedagógico) melhora o ambiente e as relações dentro da instituição.,Eu considero o atendimento do NAP (Núcleo de Apoio Psicopedagógico) de boa qualidade.,Eu recomendaria o NAP (Núcleo de Apoio Psicopedagógico) para outros estudantes.,"Eu voltaria a utilizar o NAP (Núcleo de Apoio Psicopedagógico), se necessário.",Senti que fui ouvido(a) e compreendido(a) no atendimento.,O atendimento do NAP (Núcleo de Apoio Psicopedagógico) impactou positivamente minha permanência na instituição.,Foi fácil acessar o NAP (Núcleo de Apoio Psicopedagógico) para agendar e verificar horários. ,O tempo de espera para atendimento foi adequado.,Os profissionais do NAP (Núcleo de Apoio Psicopedagógico) demonstraram preparo e competência.,O atendimento do NAP (Núcleo de Apoio Psicopedagógico) influenciou positivamente minha experiência acadêmica,Considero o NAP (Núcleo de Apoio Psicopedagógico) um serviço importante dentro da instituição.,Você gostaria de ser convidado(a) para participar de futuras pesquisas sobre o NAP? 
2026/04/28 6:57:18 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Preta,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,3.0,1.0,2.0,2.0,2.0,5.0,8.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:01:43 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,3.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,10.0,5.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:02:02 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,1.0,1.0,10.0,10.0,10.0,1.0,10.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:04:02 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Outro,Prefiro não responder,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,8.0,1.0,3.0,9.0,1.0,1.0,1.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:08:10 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,6° Semestre,Não conheço o NAP.,10.0,7.0,10.0,3.0,10.0,2.0,10.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:11:30 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,8.0,6.0,6.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:11:55 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,9.0,6.0,1.0,9.0,5.0,7.0,9.0,5.0,10.0,5.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:12:25 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Transgênero,Parda,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:12:32 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,9.0,3.0,10.0,5.0,5.0,2.0,7.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:14:24 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,4.0,1.0,10.0,1.0,10.0,1.0,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:14:50 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Pessoa não binária,Parda,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,10.0,1.0,10.0,3.0,10.0,1.0,10.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:15:31 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Homem Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,9.0,1.0,10.0,4.0,10.0,1.0,8.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:16:50 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,7.0,8.0,10.0,5.0,9.0,2.0,10.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:28:12 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Prefiro não responder,Liberdade,Psicologia,Noturno,6° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,7.0,1.0,3.0,10.0,1.0,8.0,1.0,3.0,9.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:28:17 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,6° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,7.0,1.0,6.0,6.0,3.0,6.0,1.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:28:46 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,6° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,7.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:28:47 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,6° Semestre,Não conheço o NAP.,6.0,1.0,6.0,1.0,3.0,1.0,6.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:29:00 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Branca,Santo Amaro,Psicologia,Noturno,10° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,8.0,1.0,5.0,10.0,10.0,9.0,1.0,9.0,10.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:35:43 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,Não conheço o NAP.,6.0,8.0,10.0,3.0,8.0,1.0,10.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:36:06 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,3.0,7.0,1.0,10.0,1.0,1.0,7.0,5.0,5.0,7.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 7:43:41 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,4.0,8.0,10.0,2.0,10.0,1.0,10.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:44:42 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,9.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:49:28 PM GMT-3,Concordo em participar da pesquisa.,46 a 55,Mulher Cisgênero,Branca,Liberdade,Psicologia,Diurno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,4.0,5.0,2.0,2.0,8.0,5.0,9.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 7:49:40 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,4° Semestre,Não conheço o NAP.,10.0,3.0,10.0,6.0,10.0,2.0,10.0,7.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 8:25:52 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Homem Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,Não conheço o NAP.,10.0,10.0,10.0,2.0,10.0,2.0,10.0,2.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 8:38:44 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,Não conheço o NAP.,10.0,10.0,10.0,1.0,10.0,1.0,10.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 8:59:02 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Branca,Liberdade,Psicologia,Diurno,4° Semestre,Não conheço o NAP.,1.0,1.0,6.0,5.0,1.0,1.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 9:22:10 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,6° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,10.0,6.0,4.0,10.0,10.0,5.0,6.0,1.0,8.0,6.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 9:23:16 PM GMT-3,Concordo em participar da pesquisa.,56+,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,6° Semestre,Não conheço o NAP.,1.0,8.0,10.0,8.0,10.0,3.0,8.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 9:31:32 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,Não conheço o NAP.,10.0,1.0,10.0,1.0,4.0,1.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 9:31:37 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,Não conheço o NAP.,5.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não
2026/04/28 9:32:04 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,5.0,1.0,1.0,10.0,1.0,1.0,10.0,5.0,10.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 9:33:29 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,6.0,1.0,10.0,1.0,10.0,1.0,10.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 9:57:39 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,9.0,8.0,9.0,10.0,9.0,3.0,7.0,6.0,9.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 9:58:05 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Homem Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,8.0,2.0,2.0,7.0,2.0,2.0,1.0,7.0,8.0,1.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 10:01:44 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,Não conheço o NAP.,1.0,6.0,10.0,1.0,10.0,1.0,10.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 10:45:43 PM GMT-3,Concordo em participar da pesquisa.,56+,Mulher Cisgênero,Branca,Liberdade,Psicologia,Diurno,8° Semestre,Não conheço o NAP.,10.0,10.0,10.0,4.0,10.0,1.0,10.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/29 2:12:36 AM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Parda,Liberdade,Psicologia,Noturno,2° Semestre,Não conheço o NAP.,8.0,9.0,10.0,3.0,10.0,1.0,10.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
